ibeId,giataId,giataName,giataCity,status,confidence,score,offerCount,sampleHotelName,sampleDestinationCity
254814,13277,Golden Beach Hotel,Chersonesos,weak,0.45,0.5333,3,Golden Tulip President,"Tunesische Küste, Tunesien"
2548551,34937,D-Resort Gocek,Göcek,weak,0.45,0.6533,1,Layla Gocek Adults only,Göcek
254865,1339642,Ammades All Suites Beach Hotel & Spa - Adults Only,Faliraki,weak,0.45,0.45,1,Galinos Hotel for adults only,Paros
254869,34949,AluaSoul Sunny Beach,Sonnenstrand,weak,0.45,0.3583,1,Sunny Beach Resort & Spa Mui Ne,Phan Thiet
2553683,7127,Guest House Adriatic Affiliated by Meliá,Umag,weak,0.45,0.36,1,Upper Rock Brighton – Guest House,Brighton
255395,261631,Regnum The Crown,Serik,weak,0.45,0.45,2,Crown Hotel & Bar,Inverness
2554209,40542,Baia Bodrum Hotel,Gündogan,weak,0.45,0.45,1,Hotel Baia Aranzos,Olbia
2555517,1280439,Santolia Art Suites,Ia,weak,0.45,0.45,1,Bohem Art Hotel,Budapest
255637,1369625,The Reserve,Funchal,weak,0.45,0.46,8,at Baa Atoll Biosphere Reserve,Baa Atoll
2556481,1245733,Best Western Premier Hidden Hills Hotel,Istanbul,weak,0.45,0.415,1,Best Western Grand Hotel Guinigi,Lucca
255715,1314110,Best Punta Dorada,Salou,weak,0.45,0.3917,1,Hotel Punta Sur,Tarifa
2557619,13257,Gloria Verde Resort,Serik,weak,0.45,0.3125,9,Centro Vacanze Cugnana Verde,Olbia
255816,297143,Anais Collection Hotels & Suites,Chrissi Akti,weak,0.45,0.285,2,"Buchanan Arms Hotel & Leisure, Sure Hotel Collection",Glasgow
255989,28660,Gran Tacande Wellness & Relax,Costa Adeje,weak,0.45,0.2708,1,Antiche Terre Hotel & Relax,Monterosso al Mare
256090,28115,Mon Port Hotel & Spa,Puerto de Andraitx,weak,0.45,0.45,8,Bell Port Hotel,Cala Ratjada
256361,36265,"Aulus Chania Resort, Curio Collection by Hilton",Stavros,weak,0.45,0.18,1,"Homewood Suites by Hilton Rochester/Greece, NY",Greece
2563904,20038,Hotel Regina Barcelona,Barcelona,weak,0.45,0.45,1,Club Regina Los Cabos,San Jose del Cabo
2565319,28042,Canvas by Mitsis Petit Palais,Rhodos-Stadt,weak,0.45,0.5417,3,Le Petit Palais Djerba & Spa,Djerba Midun-Stadt
256737,3257,Hotel Amic Colon,Palma de Mallorca,weak,0.45,0.45,7,New Hotel Colon,Mataro
2569139,31089,Desert Rose,Hurghada,weak,0.45,0.3583,1,Palais Du Desert Hotel & Spa,Erfoud
257440,1376955,Der Inn Hotel Lara,Antalya,weak,0.45,0.2437,1,Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,Long Island City
257455,650329,AX The Saint John,Valletta,weak,0.45,0.3917,4,Hotel Le Saint Jean,Macinaggio
257858,124616,Il Telamonio,Talamone,weak,0.45,0.45,1,Il Melo Residence,Porto Torres
2578889,4822,Amara Comfort Resort,Göynük,weak,0.45,0.3125,1,Comfort Aparthotel Cannes Mandelieu,Cannes
258089,37,Mövenpick Resort & Spa El Gouna,El Gouna,weak,0.45,0.57,2,Fanadir Hotel El Gouna,El Gouna
258308,50575,Trendhotel Alcudia,Alcúdia,weak,0.45,0.57,1,Grupotel Alcudia Suite,Alcudia
258353,5126,Basilica Holiday Resort,Paphos,weak,0.45,0.57,1,Pagona Holiday Apartments,Paphos
258383,234781,Água Hotels Riverside,Lagoa,weak,0.45,0.45,6,Hotel Ojo de Agua,Puerto Morelos
258729,424785,Novotel Marsa Alam Beach Resort,al-Qusair,weak,0.45,0.3917,1,Novotel Kayseri,Kayseri
2588,11634,Hotel Mongibello Ibiza,Santa Eulalia del Rio,weak,0.45,0.3125,10,El Somni Ibiza Dream Hotel by Grupotel,Es Cana
258891,42492,Beach Albatros Resort,Hurghada,weak,0.45,0.625,1,hu Park Albatros village,San Vincenzo
2592403,2872,Hotel Torre del Mar,Playa d'en Bossa,weak,0.45,0.3125,8,Torre Del Porticciolo Camping Village Glamping,Alghero
2594134,228131,Royal Beach Club Hotel,Gümüldür,weak,0.45,0.625,1,Hotel Royal Court,Rom
259821,4532,Citrus Plaza Hotel,Alanya,weak,0.45,0.45,2,Plaza Hotel Tallaght,Dublin
259865,38244,Gran Oasis Resort,Playa de las Américas,weak,0.45,0.45,6,Gran Hotel del Coto,Matalascanas
2598982,54509,Casa Blue Resort,Marsa Alâm,weak,0.45,0.4783,3,Blue Vision Diving Hotel,Marsa Alam
2599153,5127,Coral Beach Hotel & Resort,Paphos,weak,0.45,0.625,8,Coral Resort & Bungalows,Koh Phangan
2601588,233508,Cabo,Kavos,weak,0.45,0.54,1,"Capital O Hotel Dos Mares, Cabo San Lucas",Cabo San Lucas
2602454,182874,JAZ Little Venice Golf Resort,Ain El Sukhna,weak,0.45,0.2708,1,Little Muine Cottages Resort,Mũi Né
2604114,4841,Club Marco Polo,Kemer,weak,0.45,0.57,2,Hotel Marco Polo SELF CHECK-IN,Bologna
260545,229491,Hipotels Gran Conil,Conil de la Frontera,weak,0.45,0.72,1,Hipotels Flamenco Conil,Conil de la Frontera
2606070,264216,B&B HOTEL Pisa Airport,Pisa,weak,0.45,0.3583,2,NH München Airport,Erding
2606761,1290741,NH Collection Dubai The Palm,Dubai,weak,0.45,0.45,9,NH Collection Maldives Havodda Resort,Gaafu Dhaalu Atoll
2607373,248438,JA Palm Tree Court,Dubai,weak,0.45,0.3625,1,Jasmine Court Hotel,Kyrenia
2609346,4329,The Grand Blue Sky International,Kusadasi,weak,0.45,0.725,1,Grand Blue Beach Hotel,"Insel Kos, Griechenland"
261783,11634,Hotel Mongibello Ibiza,Santa Eulalia del Rio,weak,0.45,0.45,1,Hotel Ibiza Playa,"Ibiza, Spanien"
